Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C23345,0603WAF220JT5E,UNI-ROYAL,0603,,22Ω ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0011,0.11,https://www.lcsc.com/product-detail/C23345.html
2,C365043,HPCR0402F68R0K9,RESI,-,,-,-,40,20,20,0.0300,1.20,-
3,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,yes,40,5,5,0.1789,7.16,https://www.lcsc.com/product-detail/C165948.html
4,C22470410,TP4056,JSMSEMI,ESOP-8,,Linear Charging IC Lithium-ion/Polymer ESOP-8,yes,40,10,10,0.0447,1.79,https://www.lcsc.com/product-detail/C22470410.html
5,C2693737,ATTINY85-20SUR,MICROCHIP,SOIC-8-208mil,,AVR 8 Bit 20MHz 6 SOIC-8-208mil Microcontrollers RoHS,yes,25,1,1,2.4265,60.66,https://www.lcsc.com/product-detail/C2693737.html
6,C136722,SK-12D02-VG5,Korean Hroparts Elec,Through Hole,,Slide Switch SPDT Through Hole Rectangular Columnar,yes,40,5,5,0.0814,3.26,https://www.lcsc.com/product-detail/C136722.html
7,C25804,0603WAF1002T5E,UNI-ROYAL,0603,,10kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0011,0.11,https://www.lcsc.com/product-detail/C25804.html
8,C2828783,ARG05DTC5001,Viking,0805,,5kΩ ±0.5% 125mW 0805 Thin Film Resistor,yes,50,50,50,0.0100,0.50,https://www.lcsc.com/product-detail/C2828783.html
9,C22775,0603WAF1000T5E,UNI-ROYAL,0603,,100Ω ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0012,0.12,https://www.lcsc.com/product-detail/C22775.html
10,C23186,0603WAF5101T5E,UNI-ROYAL,0603,,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0011,0.11,https://www.lcsc.com/product-detail/C23186.html
11,C14663,CC0603KRX7R9BB104,YAGEO,0603,,100nF ±10% 50V Ceramic Capacitor X7R 0603,yes,100,100,100,0.0021,0.21,https://www.lcsc.com/product-detail/C14663.html
12,C22843,0603WAF1501T5E,UNI-ROYAL,0603,,1.5kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0012,0.12,https://www.lcsc.com/product-detail/C22843.html
13,C2146,S8050 J3Y(RANGE:200-350),JSCJ,SOT-23,,Bipolar (BJT) Transistor NPN 25V 0.5A 150MHz 0.3W Surface Mount SOT-23,yes,50,50,50,0.0127,0.64,https://www.lcsc.com/product-detail/C2146.html
14,C17179475,IR968-8C(6-2),EVERLIGHT,"Through Hole,2.9x4x2.9mm",,"Infrared (IR) Emitter 940nm Through Hole,2.9x4x2.9mm",yes,40,10,10,0.0391,1.56,https://www.lcsc.com/product-detail/C17179475.html
15,C21713982,PESD5V0S1BA,GOODWORK,SOD-323,,10VC Clamp 9A Ipp ESD DIODE SOD-323,yes,50,50,50,0.0139,0.70,https://www.lcsc.com/product-detail/C21713982.html
16,C2480,SS14,MDD(Microdiode Semiconductor),SMA(DO-214AC),,Diode Independent 40V 1A Surface Mount SMA(DO-214AC),yes,50,50,50,0.0155,0.78,https://www.lcsc.com/product-detail/C2480.html
17,C131337,B2B-PH-K-S(LF)(SN),JST,"Through Hole,P=2mm",,Connector Header 2 position 2mm Pitch 2A Through Hole -25℃~+85℃,yes,40,20,20,0.0297,1.19,https://www.lcsc.com/product-detail/C131337.html
18,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,,100nF ±10% 16V Ceramic Capacitor X7R 0402,yes,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C1525.html
19,C15850,CL21A106KAYNNNE,Samsung Electro-Mechanics,0805,,10uF ±10% 25V Ceramic Capacitor X5R 0805,yes,40,20,20,0.0160,0.64,https://www.lcsc.com/product-detail/C15850.html
